,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,streetViewMetadataURL,streetViewURL,isPropertyResultCDP,builderName,lotAreaString,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
402,63358973,https://www.zillow.com/homedetails/6000-W-Floyd-Ave-UNIT-302-Denver-CO-80227/63358973_zpid/,"$410,000","6000 W Floyd Avenue  Unit 302, Denver, CO 80227",6000 W Floyd Avenue  Unit 302,Denver,CO,80227,386900,,,,,,,,,,,,,,,,,,,,,
403,13412860,https://www.zillow.com/homedetails/7055-E-Iliff-Ave-Denver-CO-80224/13412860_zpid/,"$600,000","7055 E Iliff Avenue, Denver, CO 80224",7055 E Iliff Avenue,Denver,CO,80224,598900,,,,,,,,,,,,,,,,,,,,,
404,13345274,https://www.zillow.com/homedetails/128-S-Logan-St-Denver-CO-80209/13345274_zpid/,"$779,000","128 S Logan Street, Denver, CO 80209",128 S Logan Street,Denver,CO,80209,767831,,,,,,,,,,,,,,,,,,,,,
405,87929115,https://www.zillow.com/homedetails/2900-W-44th-Ave-SUITE-204-Denver-CO-80211/87929115_zpid/,"$500,000","2900 W 44th Avenue  Unit 204, Denver, CO 80211",2900 W 44th Avenue  Unit 204,Denver,CO,80211,493200,,,,,,,,,,,,,,,,,,,,,
406,13423065,https://www.zillow.com/homedetails/4084-S-Quince-St-Denver-CO-80237/13423065_zpid/,"$1,120,000","4084 S Quince Street, Denver, CO 80237",4084 S Quince Street,Denver,CO,80237,1111703,,,,,,,,,,,,,,,,,,,,,
407,13337315,https://www.zillow.com/homedetails/746-Osceola-St-Denver-CO-80204/13337315_zpid/,"$389,900","746 Osceola Street, Denver, CO 80204",746 Osceola Street,Denver,CO,80204,383700,,,,,,,,,,,,,,,,,,,,,
408,13313697,https://www.zillow.com/homedetails/2990-N-Sheridan-Blvd-Denver-CO-80212/13313697_zpid/,"$598,000","2990 Sheridan Boulevard, Denver, CO 80214",2990 Sheridan Boulevard,Denver,CO,80212,588544,,,,,,,,,,,,,,,,,,,,,
409,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,"$77,500","891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500,,,,,,,,,,,,,,,,,,,,,
410,13296961,https://www.zillow.com/homedetails/4490-N-Eliot-St-Denver-CO-80211/13296961_zpid/,"$765,000","4490 Eliot Street, Denver, CO 80211",4490 Eliot Street,Denver,CO,80211,751500,,,,,,,,,,,,,,,,,,,,,
411,13302986,https://www.zillow.com/homedetails/3635-Bruce-Randolph-Ave-Denver-CO-80205/13302986_zpid/,"$330,000","3635 Bruce Randolph Avenue, Denver, CO 80205",3635 Bruce Randolph Avenue,Denver,CO,80205,330000,,,,,,,,,,,,,,,,,,,,,
412,88906946,https://www.zillow.com/homedetails/3420-W-32nd-Ave-UNIT-304-Denver-CO-80211/88906946_zpid/,"$850,000","3420 W 32nd Avenue  Unit 304, Denver, CO 80211",3420 W 32nd Avenue  Unit 304,Denver,CO,80211,833333,,,,,,,,,,,,,,,,,,,,,
